2024-05-09 00:13:09,000 INFO    Thread-67 (_run_job):22236 [wandb_setup.py:_flush():76] Current SDK version is 0.17.0
2024-05-09 00:13:09,001 INFO    Thread-67 (_run_job):22236 [wandb_setup.py:_flush():76] Configure stats pid to 22236
2024-05-09 00:13:09,005 INFO    Thread-67 (_run_job):22236 [wandb_setup.py:_flush():76] Loading settings from /Users/cayetano/.config/wandb/settings
2024-05-09 00:13:09,005 INFO    Thread-67 (_run_job):22236 [wandb_setup.py:_flush():76] Loading settings from /Users/cayetano/Propio/Docencia/cayetanoguerra.github.io/Adevinta-NLP/Tema-08/wandb/settings
2024-05-09 00:13:09,005 INFO    Thread-67 (_run_job):22236 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'notebook_name': 'iris_classification.ipynb', 'project': 'iris-classification', 'entity': 'cayetano', 'root_dir': '/Users/cayetano/Propio/Docencia/cayetanoguerra.github.io/Adevinta-NLP/Tema-08', 'run_id': 'ww4hk1nc', 'sweep_param_path': '/Users/cayetano/Propio/Docencia/cayetanoguerra.github.io/Adevinta-NLP/Tema-08/wandb/sweep-8ya6ucnq/config-ww4hk1nc.yaml', 'sweep_id': '8ya6ucnq'}
2024-05-09 00:13:09,005 INFO    Thread-67 (_run_job):22236 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-05-09 00:13:09,005 INFO    Thread-67 (_run_job):22236 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2024-05-09 00:13:09,005 INFO    Thread-67 (_run_job):22236 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-05-09 00:13:09,005 INFO    Thread-67 (_run_job):22236 [wandb_init.py:_log_setup():520] Logging user logs to /Users/cayetano/Propio/Docencia/cayetanoguerra.github.io/Adevinta-NLP/Tema-08/wandb/run-20240509_001308-ww4hk1nc/logs/debug.log
2024-05-09 00:13:09,005 INFO    Thread-67 (_run_job):22236 [wandb_init.py:_log_setup():521] Logging internal logs to /Users/cayetano/Propio/Docencia/cayetanoguerra.github.io/Adevinta-NLP/Tema-08/wandb/run-20240509_001308-ww4hk1nc/logs/debug-internal.log
2024-05-09 00:13:09,006 INFO    Thread-67 (_run_job):22236 [wandb_init.py:_jupyter_setup():466] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x29ebd6500>
2024-05-09 00:13:09,009 INFO    Thread-67 (_run_job):22236 [wandb_init.py:init():560] calling init triggers
2024-05-09 00:13:09,009 INFO    Thread-67 (_run_job):22236 [wandb_init.py:init():567] wandb.init called with sweep_config: {'hidden_size': 5, 'learning_rate': 0.1}
config: {}
2024-05-09 00:13:09,009 INFO    Thread-67 (_run_job):22236 [wandb_init.py:init():610] starting backend
2024-05-09 00:13:09,009 INFO    Thread-67 (_run_job):22236 [wandb_init.py:init():614] setting up manager
2024-05-09 00:13:09,013 INFO    Thread-67 (_run_job):22236 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-05-09 00:13:09,013 INFO    Thread-67 (_run_job):22236 [wandb_init.py:init():622] backend started and connected
2024-05-09 00:13:09,022 INFO    Thread-67 (_run_job):22236 [wandb_run.py:_config_callback():1376] config_cb None None {'hidden_size': 5, 'learning_rate': 0.1}
2024-05-09 00:13:09,024 INFO    Thread-67 (_run_job):22236 [wandb_run.py:_label_probe_notebook():1328] probe notebook
2024-05-09 00:13:09,024 INFO    Thread-67 (_run_job):22236 [wandb_run.py:_label_probe_notebook():1338] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2024-05-09 00:13:09,024 INFO    Thread-67 (_run_job):22236 [wandb_init.py:init():711] updated telemetry
2024-05-09 00:13:09,046 INFO    Thread-67 (_run_job):22236 [wandb_init.py:init():744] communicating run to backend with 90.0 second timeout
2024-05-09 00:13:09,530 INFO    Thread-67 (_run_job):22236 [wandb_run.py:_on_init():2396] communicating current version
2024-05-09 00:13:09,726 INFO    Thread-67 (_run_job):22236 [wandb_run.py:_on_init():2405] got version response 
2024-05-09 00:13:09,726 INFO    Thread-67 (_run_job):22236 [wandb_init.py:init():795] starting run threads in backend
2024-05-09 00:13:10,426 INFO    Thread-67 (_run_job):22236 [wandb_run.py:_console_start():2374] atexit reg
2024-05-09 00:13:10,426 INFO    Thread-67 (_run_job):22236 [wandb_run.py:_redirect():2229] redirect: wrap_raw
2024-05-09 00:13:10,426 INFO    Thread-67 (_run_job):22236 [wandb_run.py:_redirect():2294] Wrapping output streams.
2024-05-09 00:13:10,426 INFO    Thread-67 (_run_job):22236 [wandb_run.py:_redirect():2319] Redirects installed.
2024-05-09 00:13:10,426 INFO    Thread-67 (_run_job):22236 [wandb_init.py:init():838] run started, returning control to user process
2024-05-09 00:13:10,554 INFO    Thread-67 (_run_job):22236 [wandb_run.py:_finish():2103] finishing run cayetano/iris-classification/ww4hk1nc
2024-05-09 00:13:10,554 INFO    Thread-67 (_run_job):22236 [jupyter.py:save_history():445] not saving jupyter history
2024-05-09 00:13:10,554 INFO    Thread-67 (_run_job):22236 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2024-05-09 00:13:10,554 INFO    Thread-67 (_run_job):22236 [wandb_init.py:_jupyter_teardown():448] cleaning up jupyter logic
2024-05-09 00:13:10,554 INFO    Thread-67 (_run_job):22236 [wandb_run.py:_atexit_cleanup():2343] got exitcode: 0
2024-05-09 00:13:10,554 INFO    Thread-67 (_run_job):22236 [wandb_run.py:_restore():2326] restore
2024-05-09 00:13:10,554 INFO    Thread-67 (_run_job):22236 [wandb_run.py:_restore():2332] restore done
2024-05-09 00:13:14,020 INFO    Thread-67 (_run_job):22236 [wandb_run.py:_footer_history_summary_info():3994] rendering history
2024-05-09 00:13:14,021 INFO    Thread-67 (_run_job):22236 [wandb_run.py:_footer_history_summary_info():4026] rendering summary
2024-05-09 00:13:14,040 INFO    Thread-67 (_run_job):22236 [wandb_run.py:_footer_sync_info():3953] logging synced files
